Site,Latitude,Longitude,Elevation_ft,MAP,MAT
KinneyHill,32.248583333333336,-111.18043333333334,2872,285.78,21
KinneyHill,32.24865,-111.17968333333332,2913,286.17,21
KinneyHill,32.24901666666667,-111.17916666666666,2959,286.65,21
KinneyHill,32.24956666666667,-111.18116666666668,2918,285.66,21
KinneyHill,32.24905,-111.18168333333334,2836,285.54,21
KinneyHill,32.24903333333334,-111.17893333333332,2899,286.85,21
KinneyHill,32.25013333333333,-111.1835,2783,285.51,21
ApachePeak,32.283433333333335,-111.19218333333332,3052,289.77,21.1
ApachePeak,32.28378333333333,-111.19218333333332,3080,289.72,21.1
ApachePeak,32.28426666666667,-111.19056666666668,2802,290.1,21.1
ApachePeak,32.28393333333333,-111.1925,3042,289.59,21.1
ApachePeak,32.284216666666666,-111.19191666666669,3067,289.62,21.1
ApachePeak,32.284333333333336,-111.19308333333332,2991,289.14,21.1
LomaVerde,32.19195,-110.69806666666666,3324,355.47,19.9
LomaVerde,32.19173333333333,-110.6965,3407,359.44,19.7
LomaVerde,32.191633333333336,-110.6963,3443,364.52,19.5
TumamocHill,32.214983333333336,-111.00876666666667,2703,276.22,20.9
TumamocHill,32.212466666666664,-111.00926666666666,2693,276.25,20.9
TumamocHill,32.215583333333335,-111.00808333333332,2805,276.04,20.9
TumamocHill,32.21783333333333,-111.00748333333334,2816,276.04,20.9
TumamocHill,32.217616666666665,-111.00736666666668,2830,276.05,20.9
TumamocHill,32.21626666666667,-111.00651666666668,2885,275.87,20.9
TumamocHill,32.21035,-111.00586666666666,2749,275.29,20.9
TumamocHill,32.20939333333333,-111.0061,2642,275.46,20.9
TumamocHill,32.213833333333334,-111.00293333333332,2775,274.39,20.9
TumamocHill,32.214933333333335,-111.00213333333332,2711,273.94,20.9
TumamocHill,32.21106833333333,-111.00449,3063,274.91,20.9
